title,gender,student,year,semester,size,score
副教授,女,MBA,2002,秋季,114,3.175
副教授,女,MBA,2002,秋季,88,3.523
副教授,女,MBA,2003,秋季,83,4.458
副教授,女,MBA,2002,秋季,66,3.47
副教授,女,MBA,2003,秋季,46,4.63
副教授,女,MBA,2004,秋季,45,4.511
副教授,女,MBA,2002,秋季,38,3.184
副教授,女,MBA,2002,秋季,31,3.548
副教授,女,MBA,2003,秋季,30,4.433
副教授,女,MBA,2004,秋季,30,4.3
副教授,女,研究生,2002,秋季,29,4.103
副教授,女,MBA,2003,秋季,28,4.536
副教授,女,MBA,2004,秋季,28,4.536
副教授,女,本科生,2004,秋季,27,3.963
副教授,女,MBA,2003,秋季,23,3.435
副教授,女,本科生,2003,秋季,22,4.136
副教授,女,MBA,2004,秋季,20,4.75
副教授,女,MBA,2004,秋季,19,4.526
副教授,女,研究生,2003,秋季,18,4.389
副教授,女,研究生,2004,秋季,14,4.714
副教授,女,MBA,2002,秋季,6,4.833
副教授,男,MBA,2003,秋季,134,4.299
副教授,男,本科生,2002,秋季,129,4.481
副教授,男,MBA,2004,秋季,121,4.628
副教授,男,本科生,2002,秋季,118,4.195
副教授,男,本科生,2003,秋季,112,4.741
副教授,男,MBA,2003,秋季,109,3.294
副教授,男,MBA,2003,秋季,106,4.755
副教授,男,本科生,2002,秋季,97,4.113
副教授,男,MBA,2004,秋季,92,3.489
副教授,男,MBA,2003,秋季,92,4.228
副教授,男,本科生,2003,秋季,90,4.078
副教授,男,MBA,2002,秋季,87,4.667
副教授,男,研究生,2003,秋季,87,4.609
副教授,男,MBA,2003,秋季,85,4
副教授,男,研究生,2002,秋季,82,4.695
副教授,男,MBA,2002,秋季,75,4.213
副教授,男,研究生,2003,秋季,74,4.622
副教授,男,研究生,2002,秋季,71,4.606
副教授,男,研究生,2004,秋季,70,3.657
副教授,男,本科生,2004,秋季,67,4.493
副教授,男,MBA,2003,秋季,66,3.136
副教授,男,MBA,2002,秋季,65,2.923
副教授,男,MBA,2003,秋季,65,4.077
副教授,男,研究生,2004,秋季,62,4.613
副教授,男,研究生,2004,秋季,62,4.774
副教授,男,MBA,2002,秋季,61,4.361
副教授,男,MBA,2002,秋季,61,4.213
副教授,男,MBA,2002,秋季,60,4.767
副教授,男,研究生,2002,秋季,58,4.517
副教授,男,研究生,2002,秋季,57,4.07
副教授,男,研究生,2004,秋季,57,4.614
副教授,男,本科生,2003,秋季,54,4.241
副教授,男,MBA,2004,秋季,53,4.302
副教授,男,MBA,2002,秋季,53,3.377
副教授,男,MBA,2002,秋季,52,4.538
副教授,男,MBA,2002,秋季,51,4.373
副教授,男,MBA,2003,秋季,48,4.479
副教授,男,研究生,2002,秋季,47,4.34
副教授,男,研究生,2003,秋季,47,4.383
副教授,男,本科生,2002,秋季,46,3.848
副教授,男,MBA,2004,秋季,45,4.622
副教授,男,本科生,2003,秋季,45,4.289
副教授,男,MBA,2002,秋季,41,3.268
副教授,男,MBA,2003,秋季,41,4
副教授,男,MBA,2004,秋季,40,4.325
副教授,男,MBA,2003,秋季,40,4.125
副教授,男,本科生,2004,秋季,40,3.225
副教授,男,本科生,2002,秋季,39,4
副教授,男,研究生,2003,秋季,39,3.641
副教授,男,研究生,2002,秋季,39,4.487
副教授,男,研究生,2003,秋季,39,4.231
副教授,男,本科生,2004,秋季,38,4.211
副教授,男,本科生,2002,秋季,37,4.216
副教授,男,MBA,2002,秋季,36,2.667
副教授,男,MBA,2004,秋季,35,4.229
副教授,男,本科生,2002,秋季,35,4.514
副教授,男,研究生,2003,秋季,35,4.714
副教授,男,研究生,2004,秋季,34,4.441
副教授,男,研究生,2003,秋季,34,4.706
副教授,男,MBA,2002,秋季,33,2.636
副教授,男,本科生,2003,秋季,33,4.091
副教授,男,MBA,2002,秋季,32,3.656
副教授,男,MBA,2002,秋季,32,3.875
副教授,男,本科生,2002,秋季,32,4.375
副教授,男,研究生,2002,秋季,32,4.438
副教授,男,MBA,2004,秋季,31,4.677
副教授,男,本科生,2004,秋季,28,4.536
副教授,男,研究生,2002,秋季,28,4.214
副教授,男,MBA,2004,秋季,27,4.074
副教授,男,MBA,2003,秋季,26,3.769
副教授,男,本科生,2002,秋季,26,4.038
副教授,男,本科生,2002,秋季,25,3.32
副教授,男,MBA,2004,秋季,24,4.667
副教授,男,本科生,2004,秋季,24,4.083
副教授,男,研究生,2004,秋季,24,4.625
副教授,男,研究生,2002,秋季,23,4.435
副教授,男,MBA,2004,秋季,22,4
副教授,男,本科生,2003,秋季,22,3.364
副教授,男,本科生,2003,秋季,21,4.286
副教授,男,MBA,2003,秋季,20,3.85
副教授,男,研究生,2004,秋季,20,4.45
副教授,男,本科生,2004,秋季,19,4.895
副教授,男,研究生,2004,秋季,19,4.684
副教授,男,研究生,2002,秋季,19,3.474
副教授,男,本科生,2002,秋季,18,3.333
副教授,男,研究生,2004,秋季,17,4.824
副教授,男,研究生,2002,秋季,16,4.438
副教授,男,研究生,2002,秋季,16,4.125
副教授,男,研究生,2002,秋季,16,4.375
副教授,男,研究生,2002,秋季,16,4.188
副教授,男,MBA,2004,秋季,15,3.533
副教授,男,MBA,2002,秋季,15,3.533
副教授,男,研究生,2002,秋季,15,4.733
副教授,男,研究生,2002,秋季,15,3.4
副教授,男,研究生,2004,秋季,15,4.867
副教授,男,MBA,2002,秋季,14,3.5
副教授,男,MBA,2002,秋季,14,4.643
副教授,男,MBA,2002,秋季,14,4.286
副教授,男,研究生,2002,秋季,14,4
副教授,男,研究生,2002,秋季,13,4.077
副教授,男,研究生,2004,秋季,12,4.167
副教授,男,研究生,2002,秋季,12,5
副教授,男,研究生,2003,秋季,11,4.727
副教授,男,研究生,2002,秋季,11,4.091
副教授,男,研究生,2002,秋季,10,4.8
副教授,男,研究生,2002,秋季,9,4.333
副教授,男,研究生,2004,秋季,9,4.778
副教授,男,研究生,2003,秋季,8,4.5
