time,rate
194801,2.869568045
194802,2.797511138
194803,2.652305528
194804,2.653040538
194805,2.666238059
194806,2.806068058
194807,2.890731319
194808,2.890903318
194809,3.121883222
194810,3.282190168
194811,3.312775918
194812,3.525012347
194901,3.588365157
194902,3.631919698
194903,3.346910267
194904,3.336583617
194905,2.934939553
194906,2.914212388
194907,2.778808384
194908,2.587933831
194909,2.704065797
194910,2.578982273
194911,2.695244645
194912,2.55550586
195001,2.724928628
195002,2.430980755
195003,2.471858289
195004,2.581933506
195005,2.652543343
195006,2.692649465
195007,2.727496816
195008,2.69924298
195009,2.733208147
195010,2.664551398
195011,2.67049079
195012,2.750509922
195101,2.862650661
195102,2.756453084
195103,2.762763706
195104,2.896346862
195105,3.009429036
195106,2.910207962
195107,3.066448501
195108,3.274939481
195109,3.324291558
195110,3.605383294
195111,3.611752933
195112,3.577048087
195201,3.351038675
195202,3.413226411
195203,3.36412358
195204,3.368174737
195205,3.549298302
195206,3.677057756
195207,4.01668372
195208,4.200192664
195209,4.244950688
195210,4.52797625
195211,4.390170703
195212,4.658793822
195301,4.620371097
195302,4.770500888
195303,4.38084218
195304,4.309398933
195305,3.997995843
195306,4.374630141
195307,4.274890573
195308,4.543086437
195309,4.378730073
195310,4.583705582
195311,4.593172539
195312,4.68286516
195401,4.603548825
195402,4.428389267
195403,4.505225147
195404,4.583114923
195405,4.525823663
195406,4.706768194
195407,4.52968878
195408,4.66467824
195409,4.146764002
195410,4.46618929
195411,4.145962917
195412,4.420564969
195501,4.280572413
195502,4.349824787
195503,4.122347684
195504,4.424433171
195505,4.255467845
195506,4.373385255
195507,4.258689955
195508,4.102712983
195509,3.978546364
195510,4.071498425
195511,4.140012516
195512,4.504827535
195601,4.236170302
195602,4.391935075
195603,4.464944747
195604,4.734777134
195605,4.629535179
195606,4.859425884
195607,4.908114609
195608,4.801654666
195609,4.959079443
195610,4.96234437
195611,4.831015483
195612,4.805007253
195701,4.626886369
195702,4.585160136
195703,4.69705133
195704,4.46467122
195705,4.33034779
195706,4.065441866
195707,3.914548631
195708,3.926575142
195709,3.777697359
195710,3.836612374
195711,3.791548931
195712,3.889145168
195801,3.814917601
195802,3.753138841
195803,3.534596151
195804,3.513577221
195805,3.22918018
195806,3.145766794
